2026-05-12 15:21:17 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:17 INFO Starting VTuber AI Web UI...
2026-05-12 15:21:17 INFO Open browser at: http://localhost:5000
2026-05-12 15:21:23 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:23 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:23 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:23 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:25 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:27 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:29 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:31 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
